"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","WAB_20min_10mon","WAB_30min_10mon","carotenoidtotal","betacarotenoid_nirs","branch_number","DM_gravity","DM_nirs","height_1st_branch","yield_ha","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","root_weight_plot","vigor1_5","lodging1_3","root_number_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","flesh_color_25center1_8","flesh_color_25outer1_8","root_length1_3","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8"
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM2775-4_51",1,51,9,2,"check"," (Operator: lizbethpino, Time: )","SM2775-4_is_Bellotti","check_released",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",11.0580571717683,24.4402985074627,1.2272583,0.4655951,2,NA,42.1422806,NA,NA,2,100,NA,NA,NA,3,1,NA,NA,5,4,NA,NA,2,2,NA,3,NA,NA,NA,NA,NA,0,5,NA,NA,1,1
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM2775-4_7",1,7,2,6,"check"," (Operator: lizbethpino, Time: )","SM2775-4_is_Bellotti","check_released",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",6.56189281585874,16.4981922821516,0.7607229,0.1012436,3,NA,43.9853058,NA,NA,2,100,NA,NA,NA,3,1,NA,NA,5,3,NA,NA,2,2,NA,3,NA,NA,NA,NA,NA,0,5,NA,NA,1,2
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM5881A-3_33",1,33,6,4,"test"," (Operator: lizbethpino, Time: )","SM5881A-3","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",5.9969088098918,10.7352616471627,19.315506,14.9955225,4,NA,38.8232689,NA,NA,2,100,NA,NA,NA,5,1,NA,NA,5,3,NA,NA,2,3,NA,3,NA,NA,NA,NA,NA,2,5,NA,NA,1,8
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM5908A-2_5",1,5,1,5,"test"," (Operator: lizbethpino, Time: )","SM5908A-2","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",5.28654363830963,15.5223299711348,17.5282822,11.2346563,4,NA,39.3111076,NA,NA,2,100,NA,NA,NA,4,1,NA,NA,5,4,NA,NA,2,3,NA,3,NA,NA,NA,NA,NA,0,5,NA,NA,1,4
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM5950A-4_47",1,47,8,2,"test"," (Operator: lizbethpino, Time: )","SM5950A-4","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,17.9432106,11.6245203,2,NA,36.8270226,NA,NA,2,100,NA,NA,NA,3,1,NA,NA,5,4,NA,NA,2,3,NA,3,NA,NA,NA,NA,NA,3,5,NA,NA,1,6
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6028A-5_15",1,15,3,3,"test"," (Operator: lizbethpino, Time: )","SM6028A-5","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,17.1107464,12.7372808,3,NA,36.5603333,NA,NA,2,100,NA,NA,NA,3,1,NA,NA,5,5,NA,NA,2,3,NA,4,NA,NA,NA,NA,NA,0,5,NA,NA,1,5
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6045A-3_36",1,36,6,1,"test"," (Operator: lizbethpino, Time: )","SM6045A-3","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,21.1652584,15.362956,2,NA,33.6549034,NA,NA,2,80,NA,NA,NA,3,1,NA,NA,5,5,NA,NA,2,3,NA,3,NA,NA,NA,NA,NA,0,4,NA,NA,1,7
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6073A-2_9",1,9,2,4,"test"," (Operator: lizbethpino, Time: )","SM6073A-2","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",12.2621712367096,22.5622551762731,17.7561874,11.5107317,3,NA,38.3174858,NA,NA,2,100,NA,NA,NA,3,1,NA,NA,5,4,NA,NA,2,2,NA,3,NA,NA,NA,NA,NA,0,5,NA,NA,1,4
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6089A-10_20",1,20,4,5,"test"," (Operator: lizbethpino, Time: )","SM6089A-10","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,21.4798775,13.7917824,2,NA,37.5436935,NA,NA,2,80,NA,NA,NA,2,1,NA,NA,5,5,NA,NA,2,3,NA,4,NA,NA,NA,NA,NA,0,4,NA,NA,1,4
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6107A-2_43",1,43,8,6,"test"," (Operator: lizbethpino, Time: )","SM6107A-2","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",3.57191041554234,7.87236913113867,15.8794632,10.5163889,3,NA,36.3343506,NA,NA,2,100,NA,NA,NA,3,1,NA,NA,5,5,NA,NA,2,3,NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,1,6
